Path,Author,Modifier,DateCreated,DateSaved
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mutomo/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2011.xls,Samuel,DHRIO,1/29/2010 16:35,2/22/2011 19:13
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mutomo/INPATIENT ADMINISTRATIVE STATISTICS.xls,D. Muania,Samuel,8/9/2005 5:07,1/29/2010 17:06
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mutomo/MOH 105_Service Delivery Summary FY08-09.xls,Samuel Cheburet,Samuel,2/7/2008 13:50,9/16/2009 19:35
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu,HEALTH SECTOR,1/27/2008 13:30,2/28/2011 8:53
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 710_Immunization Summary  2009.xls,Robert Wathondu,District Data,2/7/2008 14:06,2/9/2010 23:04
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,dhmt,2/7/2008 14:06,1/12/2011 12:48
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 717 Service Statistics- Workload 2010.xls,D. Muania,REGINA,8/10/2005 10:27,9/8/2010 6:50
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,SAMUEL,2/7/2008 13:50,9/25/2011 19:04
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,SAMUEL,8/10/2005 10:27,2/2/2011 10:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 705A_Out Patient Summary_Under 5 years 2009.xls,Robert Wathondu,District Data,1/27/2008 13:30,1/12/2010 23:32
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/Analysis.xls,,HMIS,10/14/1996 23:33,5/17/2007 16:13
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 710_Immunization Summary 2011.xls,Robert Wathondu,SAMUEL,2/7/2008 14:06,3/19/2011 18:25
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,dhmt,1/27/2008 13:30,1/12/2011 7:37
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS  2009.xls,HMIS,District Data,2/11/2008 10:11,1/21/2010 20:32
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 705B_Out Patient Summary_Over 5 years.xls,Robert Wathondu,HMIS,1/27/2008 13:30,4/21/2008 12:31
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 710_Immunization Summary.xls,Robert Wathondu,HMIS,2/7/2008 14:06,8/4/2008 10:18
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 705B_Out Patient Summary_Over 5 years  2009.xls,Robert Wathondu,District Data,1/27/2008 13:30,1/12/2010 23:35
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010.xls,Samuel,mercy,1/29/2010 16:35,12/10/2010 7:20
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 105_Service Delivery Summary.xls,Robert Wathondu,HMIS,2/7/2008 13:50,4/21/2008 12:29
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS.xls,HMIS, ,2/11/2008 10:11,8/18/2009 8:49
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 718 Inpatient Morbidity And Mortality Monthly Summary.xls,ROOM 37 HIS,HEALTH SECTOR,1/15/2010 22:37,10/15/2010 11:11
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 705A_Out Patient Summary_Under 5 years 2011.xls,Robert Wathondu,HEALTH SECTOR,1/27/2008 13:30,2/28/2011 8:54
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 705A_Out Patient Summary_Under 5 years 2010.xls,Robert Wathondu,dhmt,1/27/2008 13:30,1/12/2011 7:35
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 105_Service Delivery Summary AOP5.xls,Samuel Cheburet,mercy,2/7/2008 13:50,8/11/2010 10:08
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 705A_Out Patient Summary_Under 5 years.xls,Robert Wathondu,HMIS,1/27/2008 13:30,4/21/2008 12:30
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2011.xls,Samuel,HEALTH SECTOR,1/29/2010 16:35,2/28/2011 9:34
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/INPATIENT ADMINISTRATIVE STATISTICS.xls,D. Muania,HEALTH SECTOR,8/9/2005 5:07,10/15/2010 11:10
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kangundo/MOH 105_Service Delivery Summary FY08-09.xls,Samuel Cheburet, ,2/7/2008 13:50,8/11/2009 9:33
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu,Moh,1/27/2008 13:30,7/12/2011 12:27
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,Billy,2/7/2008 14:06,1/11/2011 8:24
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/Hospital Administarative Statistics 2011.xls,D. Muania,Nancy,8/9/2005 5:07,2/15/2011 13:44
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,Nancy,2/7/2008 13:50,7/12/2011 19:25
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,Billy,8/10/2005 10:27,4/14/2011 10:57
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 710_Immunization Summary 2011.xls,Robert Wathondu,Moh,2/7/2008 14:06,7/12/2011 12:22
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,Billy,1/27/2008 13:30,1/11/2011 8:04
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010.xls,Samuel,SAMUEL,1/29/2010 16:35,2/15/2011 15:58
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 105_Service Delivery Summary.xls,Robert Wathondu,Authorised user,2/7/2008 13:50,11/11/2009 19:34
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 718 Inpatient Morbidity And Mortality Monthly Summary.xls,ROOM 37 HIS,Nancy,1/15/2010 22:37,9/12/2010 10:28
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/NUTRITION 2010.xls,Billy,Billy,2/10/2009 12:00,1/11/2011 9:05
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 717 Service Statistics- Workload.xls,D. Muania,Nancy,8/10/2005 10:27,7/12/2011 15:29
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 705A_Out Patient Summary_Under 5 years 2011.xls,Robert Wathondu,Moh,1/27/2008 13:30,7/12/2011 12:26
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 705A_Out Patient Summary_Under 5 years 2010.xls,Robert Wathondu,Billy,1/27/2008 13:30,1/11/2011 8:14
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 105_Service Delivery Summary AOP5.xls,Samuel Cheburet,SAMUEL,2/7/2008 13:50,10/4/2011 15:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2011.xls,Samuel,Nancy,1/29/2010 16:35,7/12/2011 16:47
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/INPATIENT ADMINISTRATIVE STATISTICS.xls,D. Muania,Nancy,8/9/2005 5:07,8/11/2010 19:53
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Makadara/MOH 105_Service Delivery Summary FY08-09.xls,Samuel Cheburet,SAMUEL,2/7/2008 13:50,10/4/2011 15:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu,Samuel,1/27/2008 13:30,1/29/2010 18:05
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 710_Immunization Summary  2009.xls,Robert Wathondu,cheburet,2/7/2008 14:06,1/10/2010 9:32
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,Kosgey,2/7/2008 14:06,1/14/2011 10:42
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,BENARD,2/7/2008 13:50,7/20/2011 19:25
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,Kosgey,8/10/2005 10:27,2/17/2011 8:34
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 705A_Out Patient Summary_Under 5 years 2009.xls,Robert Wathondu,HMIS,1/27/2008 13:30,1/6/2009 14:28
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/Analysis.xls,,HMIS,10/14/1996 23:33,5/17/2007 16:13
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 710_Immunization Summary 2011.xls,Robert Wathondu,Kosgey,2/7/2008 14:06,2/17/2011 8:32
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,Kosgey,1/27/2008 13:30,1/14/2011 10:21
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS  2009.xls,HMIS,Samuel,2/11/2008 10:11,9/16/2009 20:12
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 705B_Out Patient Summary_Over 5 years.xls,Robert Wathondu,HMIS,1/27/2008 13:30,4/21/2008 12:31
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 710_Immunization Summary.xls,Robert Wathondu,HMIS,2/7/2008 14:06,8/4/2008 10:18
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 705B_Out Patient Summary_Over 5 years  2009.xls,Robert Wathondu, ,1/27/2008 13:30,12/14/2009 14:55
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010.xls,Samuel,Kosgey,1/29/2010 16:35,1/14/2011 11:29
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 105_Service Delivery Summary.xls,Robert Wathondu,HMIS,2/7/2008 13:50,4/21/2008 12:29
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS.xls,HMIS,HMIS,2/11/2008 10:11,11/4/2008 5:08
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 718 Inpatient Morbidity And Mortality Monthly Summary.xls,ROOM 37 HIS,Kosgey,1/15/2010 22:37,4/14/2010 7:02
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_C.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 705A_Out Patient Summary_Under 5 years 2011.xls,Robert Wathondu,Kosgey,1/27/2008 13:30,2/17/2011 8:31
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 705A_Out Patient Summary_Under 5 years 2010.xls,Robert Wathondu,Kosgey,1/27/2008 13:30,1/14/2011 10:23
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 105_Service Delivery Summary AOP5.xls,Samuel Cheburet,SAMUEL,2/7/2008 13:50,10/4/2011 15:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 705A_Out Patient Summary_Under 5 years.xls,Robert Wathondu,HMIS,1/27/2008 13:30,4/21/2008 12:30
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2011.xls,Samuel,Kosgey,1/29/2010 16:35,2/17/2011 8:59
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 105_Service Delivery Summary FY09-10.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/INPATIENT ADMINISTRATIVE STATISTICS.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Mosop/MOH 105_Service Delivery Summary FY08-09.xls,Samuel Cheburet,SAMUEL,2/7/2008 13:50,10/4/2011 15:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu,User,1/27/2008 13:30,4/7/2011 18:52
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 710_Immunization Summary  2009.xls,Robert Wathondu,PEREZ,2/7/2008 14:06,1/13/2010 9:05
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,PEREZ,2/7/2008 14:06,2/8/2011 9:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/Hospital Administarative Statistics 2011.xls,D. Muania,KUYA,8/9/2005 5:07,2/10/2011 14:35
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/Copy of Inpatient Morbidity and Mortality Summary.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/INPATIENT ADMINISTRATIVE STATISTICS -DISTRICT.xls,D. Muania,PEREZ,8/9/2005 5:07,1/13/2010 7:08
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 105 Service Delivery Summary AOP5.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,PHRIO,2/7/2008 13:50,7/29/2011 9:01
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,PEREZ,8/10/2005 10:27,3/13/2011 11:09
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 705A_Out Patient Summary_Under 5 years 2009.xls,Robert Wathondu,PEREZ,1/27/2008 13:30,1/13/2010 9:39
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010 - 1.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/Analysis.xls,,RECORDS,10/14/1996 23:33,1/12/2009 11:07
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 710_Immunization Summary 2011.xls,Robert Wathondu,User,2/7/2008 14:06,4/8/2011 14:22
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/khunyangu inpatient morbidity and mortality.xls,RECORDS,PEREZ,3/1/2010 9:24,3/16/2010 6:26
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,SAMUEL,1/27/2008 13:30,4/1/2011 8:36
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_C 2011.xls,HMIS,PEREZ,2/11/2008 10:11,3/13/2011 10:01
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS  2009.xls,HMIS,PEREZ,2/11/2008 10:11,1/13/2010 12:30
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 705B_Out Patient Summary_Over 5 years.xls,Robert Wathondu,HMIS,1/27/2008 13:30,2/10/2009 18:16
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 710_Immunization Summary.xls,Robert Wathondu,sam,2/7/2008 14:06,7/1/2009 20:50
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 705B_Out Patient Summary_Over 5 years  2009.xls,Robert Wathondu,PEREZ,1/27/2008 13:30,1/13/2010 9:38
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/DISTRICT WORKLOAD MOH 717.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010.xls,Samuel,PEREZ,1/29/2010 16:35,9/28/2010 12:47
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 105_Service Delivery Summary.xls,Robert Wathondu,MOH,2/7/2008 13:50,9/1/2008 5:35
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS.xls,HMIS,RECORDS,2/11/2008 10:11,1/11/2009 8:11
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 718 Inpatient Morbidity And Mortality Monthly Summary.xls,ROOM 37 HIS,PEREZ,1/15/2010 22:37,3/6/2011 13:19
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 717 Service Statistics- Workload.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 705A_Out Patient Summary_Under 5 years 2011.xls,Robert Wathondu,User,1/27/2008 13:30,4/7/2011 18:51
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 705A_Out Patient Summary_Under 5 years 2010.xls,Robert Wathondu,PEREZ,1/27/2008 13:30,1/10/2011 13:26
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 105_Service Delivery Summary AOP5.xls,Samuel Cheburet, ,2/7/2008 13:50,8/17/2010 11:09
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 705A_Out Patient Summary_Under 5 years.xls,Robert Wathondu,HMIS,1/27/2008 13:30,2/10/2009 18:17
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2011.xls,HMIS,PEREZ,2/11/2008 10:11,3/13/2011 10:01
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/INPATIENT ADMINISTRATIVE STATISTICS.xls,D. Muania,PEREZ,8/9/2005 5:07,4/7/2011 5:40
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Busia/MOH 105_Service Delivery Summary FY08-09.xls,Samuel Cheburet,RECORDS,2/7/2008 13:50,8/26/2009 4:37
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu,Mr Omiti,1/27/2008 13:30,3/20/2011 9:24
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 710_Immunization Summary  2009.xls,Robert Wathondu,Mr Omiti,2/7/2008 14:06,1/18/2010 12:56
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,MOH,2/7/2008 14:06,2/7/2011 8:29
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 710_Immunization Summar 2010.xlsx,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/Hospital Administarative Statistics 2011.xls,D. Muania,Mr Omiti,8/9/2005 5:07,3/21/2011 5:47
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 717 Service Statistics- Workload WEST 2010.xls,D. Muania,Mr Omiti,8/10/2005 10:27,6/17/2010 8:03
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 717 Service Statistics- Workload TANSMARA DISTRICT 2010.xls,D. Muania,Mr Omiti,8/10/2005 10:27,6/22/2010 6:45
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/INPATIENT ADMINISTRATIVE STATISTICS -DISTRICT.xls,D. Muania,reagmat,8/9/2005 5:07,9/22/2010 4:07
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,Mr Omiti,2/7/2008 13:50,7/21/2011 14:23
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,Mr Omiti,8/10/2005 10:27,3/20/2011 9:26
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 718 Inpatient Morbidity And Mortality Monthly Summary1.xls,ROOM 37 HIS,SAMUEL,1/15/2010 22:37,4/17/2011 17:39
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 705A_Out Patient Summary_Under 5 years 2009.xls,Robert Wathondu,reagmat,1/27/2008 13:30,9/22/2010 3:55
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 710_Immunization Summary 2011.xls,Robert Wathondu,Mr Omiti,2/7/2008 14:06,3/22/2011 4:54
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Data manager,owner,2/12/2009 10:55,1/13/2011 11:22
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS  2009.xls,HMIS,Mr Omiti,2/11/2008 10:11,1/18/2010 13:28
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 705B_Out Patient Summary_Over 5 years.xls,Robert Wathondu,HMIS,1/27/2008 13:30,4/21/2008 12:31
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 710_Immunization Summary.xls,Robert Wathondu,HMIS,2/7/2008 14:06,8/4/2008 10:18
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/MOH 705B_Out Patient Summary_Over 5 years  2009.xls,Robert Wathondu,reagmat,1/27/2008 13:30,9/22/2010 3:59
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Transmara/DISTRICT WORKLOAD MOH 717.xls,D. Muania,Mr Omiti,8/10/2005 10:27,1/14/2010 9:37
